SCRAPING TIMING | category=Articulos De Oficina | products=12 | seconds=18.607
SCRAPING TIMING | category=Articulos De Playa | products=5 | seconds=12.603
SCRAPING TIMING | category=Articulos De Escritorio | products=25 | seconds=46.392
SCRAPING TIMING | category=Articulos De Antiestres | products=25 | seconds=49.347
SCRAPING TIMING | category=Bolsas Mochilas | products=3 | seconds=10.180
SCRAPING TIMING | category=Articulos Personales | products=17 | seconds=25.840
SCRAPING TIMING | category=Estuches | products=8 | seconds=13.077
SCRAPING TIMING | category=Enmicadoras Laminadoras | products=9 | seconds=16.485
SCRAPING TIMING | category=Cocina Mesa Y Hogar | products=18 | seconds=24.592
SCRAPING TIMING | category=Impresoras Y Consumible Fotograficas Termicas | products=14 | seconds=16.955
SCRAPING TIMING | category=Kits De Herramientas | products=2 | seconds=8.485
SCRAPING TIMING | category=Jarros Mug | products=19 | seconds=23.773
SCRAPING TIMING | category=Insumos De Sublimacion | products=25 | seconds=26.229
SCRAPING TIMING | category=Lapiceros Ecologicos | products=4 | seconds=8.048
SCRAPING TIMING | category=Lapiceros Metalicos | products=10 | seconds=13.551
SCRAPING TIMING | category=Llaveros Y Accesorios | products=25 | seconds=24.541
SCRAPING TIMING | category=Maquinas De Sublimacion | products=25 | seconds=23.909
SCRAPING TIMING | category=Micas Para Enmicados | products=25 | seconds=25.528
SCRAPING TIMING | category=Papeleria Grafipapel | products=23 | seconds=26.283
SCRAPING TIMING | category=Plotters De Corte | products=15 | seconds=18.666
SCRAPING TIMING | category=Papeles Fotograficos Koala Paper | products=25 | seconds=28.209
SCRAPING TIMING | category=Porta Tacos Post It | products=15 | seconds=20.208
SCRAPING TIMING | category=Tecnologia Y Accesorios | products=13 | seconds=15.061
SCRAPING TIMING | category=Resaltadores Publicitarios | products=21 | seconds=21.132
SCRAPING TIMING | stage=category_extraction | categories=24 | products=383 | seconds=176.606
SCRAPING TIMING | stage=detail_cache | requests=381 | cache_hits=2 | cache_size=381
SCRAPING TIMING | stage=consolidation | products=357 | seconds=0.000
SCRAPING TIMING | stage=images | products=357 | seconds=1.340
SCRAPING TIMING | stage=mapping | products=357 | seconds=0.010
SCRAPING TIMING | stage=catalog_sync | products=357 | seconds=0.020
SCRAPING TIMING | stage=sync_total | products=357 | seconds=1.375
SCRAPING TIMING | stage=run_total | categories=24 | seconds=177.985
SCRAPING TIMING | category=Jarros | products=1 | seconds=0.000
SCRAPING TIMING | category=Promocionales | products=1 | seconds=0.000
SCRAPING TIMING | stage=category_extraction | categories=2 | products=2 | seconds=0.010
SCRAPING TIMING | stage=consolidation | products=1 | seconds=0.000
SCRAPING TIMING | stage=images | products=1 | seconds=0.000
SCRAPING TIMING | stage=mapping | products=1 | seconds=0.000
SCRAPING TIMING | stage=catalog_sync | products=1 | seconds=0.000
SCRAPING TIMING | stage=sync_total | products=1 | seconds=0.007
SCRAPING TIMING | category=categoria | products=2 | seconds=0.000
SCRAPING TIMING | stage=persistence | products=2 | seconds=0.000
SCRAPING TIMING | stage=sync_total | products=2 | seconds=0.000
SCRAPING TIMING | stage=run_start | categories=2
SCRAPING TIMING | stage=run_total | categories=2 | seconds=0.001
